Município;01 ESF - EQUIPE DE SAUDE DA FAMILIA;02 ESFSB_M1 - ESF COM SAUDE BUCAL - M I;03 ESFSB_M2 - ESF COM SAUDE BUCAL - M II;04 EACS - EQUIPE DE AGENTES COMUNITARIOS DE SAUDE;06 NASF1 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 1;07 NASF2 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 2;08 EMSI - EQ MULTIDISC AT BASICA SAUDE INDIGENA;10 EACSSB_M1 - EQ AGENTES COMUNITµRIOS COM SAUDE BUCAL - MI;11 EACSSB_M2 - EQ AGENTES COMUNITµRIOS COM SAUDE BUCAL - MII;22 EMAD - EQUIPE MULTIDISCIPLINAR DE ATENCAO DOMICILIAR TIPO I;23 EMAP - EQUIPE MULTIDISCIPLINAR DE APOIO;36 ESFTRANS      - ESF TRANSITORIA;40 eCR MI   - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE I;41 eCR MII  - EQUIPE DOS CONSULTORIOS NA RUA MODALIDADE II;45 NASF3 - NUCLEO DE APOIO A SAUDE DA FAMILIA-NASF MODALIDADE 3;46 EMAD - EQUIPE MULTIDISCIPLINAR DE ATENCAO DOMICILIAR TIPO II;49 EAP;51 EABP1SM - EQ ATENCAO BASICA PRISIONAL TIPO I C SAUDE MENTAL;52 EABP2   - EQ ATENCAO BASICA PRISIONAL TIPO II;54 EABP3   - EQ ATENCAO BASICA PRISIONAL TIPO III;Total
260300 Cabrobó;2;9;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;15
260310 Cachoeirinha;0;7;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8
260320 Caetés;0;9;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10
260330 Calçado;0;5;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6
260340 Calumbi;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
260345 Camaragibe;29;13;3;0;5;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;51
260350 Camocim de São Félix;0;7;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8
260360 Camutanga;0;3;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
260370 Canhotinho;0;10;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;12
260380 Capoeiras;0;7;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8
260390 Carnaíba;5;4;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10
260392 Carnaubeira da Penha;0;2;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;5
260400 Carpina;8;10;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21
260410 Caruaru;16;54;0;11;6;0;0;0;0;3;1;1;0;0;2;0;0;0;0;1;95
