"Município";"ACADEMIA DA SAÚDE";"CENTRAL DE REGUALAÇÃO";"CENTRAL DE REGULAÇÃO MÉDICA DAS URGÊNCIAS";"CENTRO DE APOIO A SAÚDE DA FAMÍLIA0CASF";"CENTRO DE ATENÇÃO HEMOTERÁPICA E/OU HEMATOLÓGICA";"CENTRO DE ATENÇÃO PSICOSSOCIAL0CAPS";"CENTRO DE PARTO NORMAL";"CENTRO DE SAUDE/UNIDADE BASICA DE SAUDE";"CENTRAL DE REGULACAO DE SERVICOS DE SAUDE";"CENTRAL DE NOTIF. CAPTAÇÃO E DISTR. ÓRGÃOS ESTADUA";"CLINICA ESPECIALIZADA/AMBULATORIO ESPECIALIZADO";"CONSULTORIO";"COOPERATIVA";"FARMACIA";"HOSPITAL ESPECIALIZADO";"HOSPITAL GERAL";"HOSPITAL DIA";"LABORATORIO CENTRAL DE SAUDE PUBLICA 0 LACEN";"LABORATORIO DE SAUDE PUBLICA";"POLICLINICA";"OFICINA ORTOPEDICA";"POSTO DE SAUDE";"PRONTO ANTEDIMENTO";"PRONTO SOCORRO ESPECIALIZADO";"PRONTO SOCORRO GERAL";"SECRETARIA DE SAUDE";"SERVICO DE ATENCAO DOMICILIAR ISOLADO(HOME CARE)";"UNIDADE DE ATENÇÃO À SAÚDE INDÍGENA";"UNIDADE DE SERVICO DE APOIO DE DIAGNOSE E TERAPIA";"UNIDADE DE VIGILANCIA EM SAUDE";"UNIDADE MISTA";"UNIDADE MOVEL DE NIVEL PRE0HOSP0URGENCIA/EMERGENCI";"UNIDADE MOVEL TERRESTRE";"TELESAÚDE";"POLO PREV.DE DOENCAS E AGRAVOS E PROMOCAO DA SAUDE";"Total"
"261260 Santa Maria da Boa Vista";1;0;0;1;0;1;0;11;0;0;0;6;0;0;0;1;0;0;0;0;0;6;0;0;0;1;0;0;1;1;0;0;1;0;0;31
"261270 Santa Maria do Cambucá";2;0;0;1;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;10
"261280 Santa Terezinha";4;0;0;1;0;0;0;6;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;15
"261290 São Benedito do Sul";0;0;0;1;0;0;0;3;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;8
"261300 São Bento do Una";1;1;0;1;0;0;0;12;0;0;1;5;0;0;0;1;0;0;0;1;0;0;1;0;0;1;0;0;3;0;0;1;1;0;0;30
"261310 São Caitano";2;1;0;1;0;0;0;12;0;0;1;1;0;0;0;1;0;0;0;0;0;2;0;0;0;1;0;0;0;0;0;1;0;0;0;23
"261320 São João";0;1;0;1;0;1;0;12;0;0;2;2;0;0;0;1;0;0;0;1;0;4;0;0;0;1;0;0;0;0;0;1;0;0;0;27
"261330 São Joaquim do Monte";2;1;0;2;0;1;0;11;0;0;2;3;0;0;0;1;0;0;0;0;0;3;0;0;0;1;0;0;0;0;0;1;0;0;1;29
"261340 São José da Coroa Grande";0;0;0;1;0;1;0;7;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;1;1;1;1;0;0;0;15
"261350 São José do Belmonte";1;0;0;1;0;1;0;10;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;18
"261360 São José do Egito";3;0;0;1;0;2;0;15;0;0;5;1;0;0;0;2;0;0;0;6;0;5;0;0;0;1;0;0;3;1;0;0;0;0;0;45
"261370 São Lourenço da Mata";1;0;0;1;0;1;0;27;0;0;5;4;0;0;0;2;0;0;0;1;0;1;1;0;0;1;0;0;3;0;0;1;0;0;0;49
"261380 São Vicente Ferrer";0;1;0;1;0;0;0;8;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;1;1;0;0;0;17
"261390 Serra Talhada";3;1;0;0;0;3;0;23;0;0;45;48;1;2;2;4;0;0;1;0;0;6;0;0;1;2;0;0;17;1;0;0;1;0;0;161
"261400 Serrita";1;0;0;1;0;1;0;8;0;0;2;1;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;17
"261410 Sertânia";5;0;0;1;0;1;0;11;0;0;1;2;0;1;0;2;0;0;0;0;0;7;0;0;0;1;0;0;4;1;0;0;0;0;0;37
"261420 Sirinhaém";0;0;0;1;0;0;0;11;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;15
"261440 Solidão";2;0;0;1;0;0;0;3;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;10
"261450 Surubim";2;1;0;3;0;1;0;20;0;0;7;2;0;1;0;1;0;0;0;3;0;0;1;0;0;1;0;0;6;1;0;2;0;0;0;52
